username profile,rate,date,reviews
sahore,5,30-01-2024 03:19 AM,"wangii dan bikin lembut!! walaupun shampoo nya ga cocok tapi mask dari makarizo ini mantep dehh, begitu pake wanginya tuh awett bgtt bau kaya madu dan ga terlalu kecium bau kimianya, bikin aluss juga rambut jadi enteng dan ngurangin frizzy"
deviiniiaa,5,27-01-2024 04:20 PM,"Bagus! dia beneran melembutkan buat rambutku yang sebelum diwarnain udah kering begitu diwarnain makin kering lagi. Biasanya aku tunggu 15 menitan, tapi sayang aku kurang suka baunya, lebih enak yang melon tapi varian ini yang kegunaanya pas buat aku. Mudah ditemuin lagi! ada di minimarket2 sekitar (versi sachet)"
Kartika_Ambar,3,27-01-2024 09:43 AM,"Diantara 3 varian kayaknya yg ini doang yg aku kurang suka,wanginya sih enak ya... Dirambut sebenernya dia juga bikin halus dan berkilau, kalo mau effort dikit bungkus beberpa menit pake handuk panas/hangat hasilnya lebih wow lagi, lebih haluus dan wanginya lebih nempel dirambutt. cuma yg varian royal jelly ini cenderung bikin rambut cepet lepek juga dibandingkan varian lainnya. mungkin karena emang dia lebih cocok buat rambut kering ya."
deanieafifah,4,26-01-2024 11:00 PM,"awalnya cuma pakai karena temen bawa shampoonya ini pas lagi berenang, tapi ternyata keterusan😁 untuk tipe rambut kering dan mengembang dari semua varian paling cocok yg ini sih. sensasi angetnya ada, wanginya enak kyk di salon-salon gitu, dan efeknya beneran muncul. saran gue sih pakenya 3/4 basah karena gatau kenapa cara itu works di rambut gueee, kalo ga kaya gitu efeknya suka ga maksimal."
rilakumabear,4,26-01-2024 07:34 PM,"Aku beli ini gara-gara males mau creambath di salon. Ini isinya banyak banget dan harganya pun affordable. Kadang make setahun aja tu nggak habis-habis. Wanginya pun enak,nah tapi aku bingung karna kadang ngaruh kadang juga nggak ngaruh"
ninsday,4,26-01-2024 11:40 AM,"Ini bagus ya buat rambut jadi nurut apalagi tipe rambut untuk tipe bergelombang, kering dan mengembang jadi pas oke pake ini. Harganya murah buat yg sasetnya. Tapi emg licinnn banget sih pas pembilasannya dan kalau untuk wanginya aku kurang suka"
DDDara,5,24-01-2024 09:14 AM,"suka banget sih sama creambath makarizo, terutama yang varian ini. wanginya manis yang enak gitu. teksturnya cukup kental tapi tetap gampang diratain di rambut. setelah dibilas lembut banget dan gak kusut2 lagi. bisa banget dipakai untuk perawatan setelah bleaching rambut."
finkasalsabilla,5,24-01-2024 07:42 AM,"Seminggu sekali aku pake ini jujur. Belinya yang botolan size paling gede itu. Awet banget ga abis2. No need creambath di salon, ini dia punya hasil terlalu bagus. Selalu dipuji karena wanginya bener-bener calming. Love it. Belum nemu lagi yang bagus dan affordable selain makarizo."
cintara,4,23-01-2024 04:41 PM,"Hair creambath or hair mask affordable tapi ga murahan karena kualitasnya baik, dah ga kehitung brp kali beli. Awal dulu banget hanya ada kemasan sachet, lalu dibuat kemasan jar yg isinya banyak yg lebih praktis yeay, aku jg stock bbrp kemasan sachet kecil khusus untuk travelling. Mengandung Royal Jelly + Omega 6 berasal dari Minyak Nabati Passiflora. Harum ada wangi sweet dari royal jelly dan sedikit floral. Halus sekali rambut setelah dibilas, varian ini diperuntukan dry & damaged hair."
theresiaaa,4,23-01-2024 11:51 AM,"For me, this is a good product for your hair, guys x) . I would like to recommend this, because I was using this product more than 1 year and get lots of benefits based on the product packaging (aku biasa beli di Alfamart or Indomaret kemasan sachet-nya btw) hehe. Tapi kekurangannya cuma satu. Aku gatau apa aku ada sedikit kekeliruan dalam menggunakan ini atau bagaimana, tapi yang kurasakan, after use this rambutku rontok banget. Maksudku setiap bilas rambut selalu rontok banget. Ini memang masih menjadi concern dan masalah buatku. Tapi, overall, ini produk yang layak untuk repurchase dan cocok bgt buat temen-temen yang memiliki rambut tebal dan ngembang kayak akuu. Hope it helps, thank you :)"
Ifamsl,5,23-01-2024 08:29 AM,Emang si ga seharum varian satunya tapi yang varian ini bikin rambut lebih sehat dan lebih lenbut (kayaknya) soalnya dua duanya bikin lembut... alu suka pake ini kalau rambut lagi ga sehat dan pake varian satunya kalau pengen rambut lebih harum
skinbyk,4,23-01-2024 08:22 AM,"Salah satu kecintaan sejuta umat kalo lagi nyari creambath yg satset & affordable, karena emang dia keitung murah & juara bgt di wanginya yg bisa stay dirambut aku sekitar 2-3 hari! Buat rambut kering ini recommend juga apalagi kalo yg sering kena polusi, sinar matahari, heat tools, sampe diwarnain"
Metaaahd,5,23-01-2024 06:15 AM,"Wanginya enak, dipakainya juga gampang banget, setelah pemakaian rambut jadi jatuh dan lembut banget, harganya gak begitu mahal juga, worth to try bangett buat aku, gampang dibelinya juga karena dimana mana ada dan ada yg sachet juga buat yg mau nyoba takut gak cocok"
